date,MSFT,BRKA,MMM,KO,JPM
01/09/1997,10.528989,44800,25.743771,12.102351,19.915201
01/10/1997,10.344971,43700,25.482674,11.289207,19.482716
01/11/1997,11.260104,45300,27.136259,12.460492,18.449726
01/12/1997,10.285289,46000,22.983753,13.353657,18.57696
01/01/1998,11.871849,50300,23.386368,12.965686,18.184643
01/02/1998,13.488247,55800,23.894003,13.741629,21.167379
01/03/1998,14.244229,67200,25.647003,15.506262,23.012188
01/04/1998,14.343699,68600,26.598196,15.256396,23.641344
01/05/1998,13.498199,70700,26.104996,15.759081,23.316921
01/06/1998,17.248243,78305,23.295502,17.191732,25.900549
01/07/1998,17.496918,70105,21.29369,16.246353,25.94342
01/08/1998,15.268776,60500,19.415878,13.143395,18.096605
01/09/1998,17.516813,59600,21.035517,11.629763,14.865068
01/10/1998,16.850367,64500,22.730494,13.70286,19.583107
01/11/1998,19.416714,67900,22.980288,14.209901,22.061775
01/12/1998,22.072588,70000,20.445236,13.644606,24.691805
01/01/1999,27.851866,65000,22.313692,13.300949,26.756701
01/02/1999,23.892897,71100,21.289627,13.008197,27.832451
01/03/1999,28.52825,71400,20.487526,12.499073,28.444157
01/04/1999,25.882322,76400,25.772299,13.93189,28.837402
01/05/1999,25.683367,72000,24.831177,14.021444,25.426373
01/06/1999,28.707298,68900,25.336159,12.690943,30.388681
01/07/1999,27.314695,67805,25.627581,12.456983,27.07316
01/08/1999,29.463274,64200,27.540089,12.302714,29.540632
01/09/1999,28.826664,55000,28.15646,9.924453,26.606417
01/10/1999,29.463274,63900,27.863358,12.206454,30.79813
01/11/1999,28.980837,57300,28.009909,13.926221,27.420065
01/12/1999,37.162327,56100,28.847471,12.109504,27.575361
01/01/2000,31.154263,51200,27.594818,11.940593,28.640215
01/02/2000,28.448662,44000,25.992182,10.108577,28.422987
01/03/2000,33.820099,57200,26.271801,9.757766,31.122501
01/04/2000,22.201899,59300,25.697033,9.896684,25.745779
01/05/2000,19.91407,58600,25.437471,11.179585,26.799555
01/06/2000,25.464535,53800,24.781279,12.030492,24.792404
01/07/2000,22.221794,55100,26.889929,12.925635,26.81078
01/08/2000,22.221794,57700,27.771639,11.097466,30.284206
01/09/2000,19.197874,64400,27.371992,11.62121,25.033585
01/10/2000,21.923378,63700,29.024075,12.809406,24.660973
01/11/2000,18.262852,65900,30.000292,13.286768,20.123964
01/12/2000,13.806558,71000,36.418842,13.001885,24.79682
01/01/2001,19.436602,68400,33.44186,12.375129,30.009953
01/02/2001,18.780104,70300,34.076546,11.314707,25.650536
01/03/2001,17.407396,65450,31.568182,9.635534,24.683006
01/04/2001,21.565281,68000,36.159092,9.926625,26.376173
01/05/2001,22.020464,68700,36.02845,10.186664,27.242008
01/06/2001,23.236389,69400,34.844215,9.670886,24.648064
01/07/2001,21.068724,69200,34.166264,9.660676,23.999586
01/08/2001,18.159399,69400,31.7904,10.542262,22.001278
01/09/2001,16.287758,70000,30.21797,10.148041,19.069637
01/10/2001,18.509537,71200,32.054409,10.484214,19.745316
01/11/2001,20.438477,70000,35.186749,10.282765,21.269831
01/12/2001,21.087822,75600,36.489075,10.402401,20.497303
01/01/2002,20.279325,73900,34.263489,9.652282,19.200369
01/02/2002,18.570024,73000,36.402637,10.455355,16.649443
01/03/2002,19.197081,71100,35.695438,11.529792,20.2924
01/04/2002,16.634714,73450,39.044319,12.349534,19.979324
01/05/2002,16.205,74600,38.929485,12.360662,20.662117
01/06/2002,17.411377,66800,38.362591,12.458549,19.49538
01/07/2002,15.272359,68300,39.245255,11.193271,14.345654
01/08/2002,15.6225,73000,38.970768,11.430852,15.339594
01/09/2002,13.922743,73900,34.464424,10.749483,11.034054
01/10/2002,17.019867,74190,39.782814,10.500164,12.056694
01/11/2002,18.359936,72300,40.694813,10.310404,14.881224
01/12/2002,16.456467,72750,38.830101,9.992375,14.189488
01/01/2003,15.106836,67600,39.223759,9.221978,13.799279
01/02/2003,15.087745,61700,39.481976,9.167275,13.601753
01/03/2003,15.461972,63800,41.164124,9.226537,14.219469
01/04/2003,16.330551,69815,39.900974,9.31716,17.601921
01/05/2003,15.717433,71000,40.037121,10.509478,19.987417
01/06/2003,16.375261,72500,41.048859,10.703199,20.790316
01/07/2003,16.867025,72010,44.619701,10.469964,21.319515
01/08/2003,16.937277,75775,45.342136,10.132375,21.023785
01/09/2003,17.754761,75000,44.165882,10.001989,21.091362
01/10/2003,16.694586,77810,50.432373,10.909688,22.055933
01/11/2003,16.512089,83750,50.541061,10.933204,21.959782
01/12/2003,17.578207,84250,54.604698,12.046287,22.784819
01/01/2004,17.758038,89490,50.790115,11.687861,24.124733
01/02/2004,17.038717,94500,50.102978,11.858765,25.683794
01/03/2004,16.011129,93300,52.812077,11.939469,26.266096
01/04/2004,16.781822,93390,55.785866,12.125058,23.542439
01/05/2004,16.846048,89000,54.54734,12.312074,23.253662
01/06/2004,18.342474,88950,58.315552,12.10347,24.471897
01/07/2004,18.297518,87250,53.359299,10.619049,23.562954
01/08/2004,17.533249,87000,53.359299,10.824852,25.20421
01/09/2004,17.810419,86650,52.049004,9.696599,25.299719
01/10/2004,18.016542,84250,50.486938,9.960214,24.580149
01/11/2004,17.269344,83700,51.801674,9.629515,24.178989
01/12/2004,19.18277,87900,53.652008,10.329855,25.052387
01/01/2005,18.86689,89900,55.149059,10.292645,23.973482
01/02/2005,18.062807,90200,54.874496,10.617627,23.678192
01/03/2005,17.405617,87000,56.299809,10.337301,22.414921
01/04/2005,18.219362,84350,50.242123,10.918355,22.991497
01/05/2005,18.579432,84100,50.360397,11.21745,23.392151
01/06/2005,17.944839,83500,47.76284,10.493583,23.11079
01/07/2005,18.501106,83500,49.54652,11.140737,22.993008
01/08/2005,19.779779,83150,47.003143,11.201838,22.39064
01/09/2005,18.642937,82000,48.748817,10.995625,22.417065
01/10/2005,18.621197,85900,50.489853,11.030838,24.194315
01/11/2005,20.05583,89390,52.151138,11.007627,25.525583
01/12/2005,19.00279,88620,51.774364,10.531814,26.486549
01/01/2006,20.456152,89490,48.601109,10.811373,26.526587
01/02/2006,19.526003,86800,49.162281,10.965524,27.688425
01/03/2006,19.840082,90350,50.884972,10.939395,28.024944
01/04/2006,17.608892,89000,57.432964,11.124168,30.54207
01/05/2006,16.515171,92290,56.243034,11.67295,28.932579
01/06/2006,17.055363,91659,54.589581,11.405188,28.498316
01/07/2006,17.611677,91600,47.580879,11.968895,30.954594
01/08/2006,18.812141,96097,48.459507,12.052275,31.234596
01/09/2006,20.093651,95800,50.624496,12.017308,32.123882
01/10/2006,21.092808,105475,53.631222,12.742421,32.452229
01/11/2006,21.570362,107100,55.413467,12.772424,31.885763
01/12/2006,22.012707,109990,53.313549,13.336849,33.277489
01/01/2007,22.749899,110050,50.830173,13.234577,35.089481
01/02/2007,20.766842,106190,50.679695,12.902883,34.269691
01/03/2007,20.616924,108990,52.617161,13.26775,33.568905
01/04/2007,22.148214,109200,56.981842,14.633436,36.150059
01/05/2007,22.703032,109490,60.554836,14.857744,36.217979
01/06/2007,21.871155,109475,60.084061,14.667086,33.856091
01/07/2007,21.514919,110000,61.558628,14.807898,30.753492
01/08/2007,21.321951,118390,62.991688,15.282458,31.35228
01/09/2007,21.940361,118510,65.138161,16.331036,32.267773
01/10/2007,27.414288,132500,60.11256,17.76717,33.098763
01/11/2007,25.02363,140100,57.954746,17.864983,32.387882
01/12/2007,26.600796,141600,59.039459,17.847681,30.989285
01/01/2008,24.359146,136000,55.769588,17.158436,33.651619
01/02/2008,20.324203,140000,54.894344,17.001387,29.112883
01/03/2008,21.288317,133400,55.768684,17.702272,30.760115
01/04/2008,21.393326,133850,54.183365,17.342253,34.126183
01/05/2008,21.243305,134650,54.648388,16.867968,31.046944
01/06/2008,20.711679,120750,49.351021,15.312554,24.772579
01/07/2008,19.364023,114450,49.918373,15.372551,29.335758
01/08/2008,20.546043,116600,50.776478,15.542698,28.101873
01/09/2008,20.174458,130600,48.785362,15.784479,34.096054
01/10/2008,16.878813,115490,45.92152,13.340156,30.116964
01/11/2008,15.283912,104000,47.799793,14.190948,23.293575
01/12/2008,14.79387,96600,41.426876,13.941607,23.197927
01/01/2009,13.013127,89502,38.727001,13.156291,18.768766
01/02/2009,12.290174,78600,32.729675,12.580391,17.016787
01/03/2009,14.075452,86700,36.185913,13.53509,19.794571
01/04/2009,15.523602,94000,41.920921,13.541471,24.575655
01/05/2009,16.006319,91600,41.557022,15.463388,27.528967
01/06/2009,18.328701,90000,44.121788,15.095362,25.447508
01/07/2009,18.135935,97000,51.77153,15.947413,28.834541
01/08/2009,19.007252,100850,52.931477,15.605039,32.470608
01/09/2009,19.943829,101000,54.575146,17.182501,32.739578
01/10/2009,21.502422,99000,54.40509,17.338808,31.207952
01/11/2009,22.80514,100600,57.26693,18.604013,31.784281
