AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2018-06-29,46.572498,46.797501,45.727501,46.277500,44.820538,90950800;2018-06-29,106.680000,106.900002,104.150002,104.199997,95.614342,18972400;2018-06-29,98.930000,99.910004,98.330002,98.610001,95.154778,28053200
2018-07-02,45.955002,46.825001,45.855000,46.794998,45.321751,70925200;2018-07-02,103.720001,105.089996,103.379997,105.080002,96.421837,11130000;2018-07-02,98.099998,100.059998,98.000000,100.010002,96.505722,19564500
2018-07-03,46.947498,46.987499,45.884998,45.980000,44.532402,55819200;2018-07-03,105.410004,105.779999,103.519997,103.610001,95.072968,8311700;2018-07-03,100.480003,100.629997,98.940002,99.050003,95.579369,14670300
2018-07-05,46.314999,46.602501,46.070000,46.349998,44.890747,66416800;2018-07-05,104.129997,104.379997,103.529999,103.720001,95.691101,10723400;2018-07-05,99.500000,99.919998,99.029999,99.760002,96.264488,18977400
2018-07-06,46.355000,47.107498,46.299999,46.992500,45.513023,69940800;2018-07-06,103.120003,104.500000,102.199997,104.059998,96.004776,12173700;2018-07-06,99.889999,101.430000,99.669998,101.160004,97.615440,19234600
2018-07-09,47.375000,47.669998,47.325001,47.645000,46.144978,79026400;2018-07-09,104.709999,107.459999,104.709999,107.279999,98.975533,13900800;2018-07-09,101.650002,102.250000,101.250000,101.849998,98.281242,18212000
2018-07-10,47.677502,47.820000,47.544998,47.587502,46.089294,63756400;2018-07-10,108.019997,108.400002,106.529999,106.620003,98.366608,14575900;2018-07-10,102.000000,102.510002,101.860001,102.120003,98.541786,19293100
2018-07-11,47.125000,47.445000,46.902500,46.970001,45.491234,75326000;2018-07-11,106.309998,107.059998,106.209999,106.389999,98.154411,10186500;2018-07-11,101.150002,102.339996,101.099998,101.980003,98.406693,19644600
2018-07-12,47.382500,47.852501,47.327499,47.757500,46.253941,72164400;2018-07-12,107.419998,107.559998,105.970001,106.849998,98.578804,12456800;2018-07-12,102.769997,104.410004,102.730003,104.190002,100.539253,24335900
2018-07-13,47.770000,47.959999,47.724998,47.832500,46.326584,50055600;2018-07-13,107.300003,107.800003,105.139999,106.360001,98.126740,21289100;2018-07-13,104.370003,105.599998,104.089996,105.430000,101.735802,24635200
2018-07-16,47.880001,48.162498,47.605000,47.727501,46.224888,60172400;2018-07-16,107.050003,110.769997,106.980003,110.580002,102.020081,24662600;2018-07-16,105.400002,105.820000,104.519997,104.910004,101.234032,21786900
2018-07-17,47.437500,47.967499,47.299999,47.862499,46.355640,62138000;2018-07-17,110.690002,110.930000,109.750000,110.500000,101.946266,14821900;2018-07-17,104.610001,106.500000,104.320000,105.949997,102.237595,25901700
2018-07-18,47.945000,47.950001,47.482498,47.599998,46.101398,65573600;2018-07-18,110.419998,112.120003,110.199997,111.529999,102.896530,14244900;2018-07-18,105.940002,106.050003,104.720001,105.120003,101.436676,29493900
2018-07-19,47.422501,48.137501,47.422501,47.970001,46.459751,81147200;2018-07-19,111.059998,111.089996,109.730003,109.889999,101.383484,16775300;2018-07-19,104.930000,105.309998,103.889999,104.400002,100.741905,40171600
2018-07-20,47.945000,48.107498,47.542500,47.860001,46.353214,82704800;2018-07-20,110.000000,111.739998,109.779999,111.279999,102.665886,13578100;2018-07-20,108.080002,108.199997,106.080002,106.269997,102.546371,56004000
2018-07-23,47.669998,47.990002,47.389999,47.902500,46.394367,63957600;2018-07-23,111.059998,114.239998,110.930000,113.349998,104.575630,18140000;2018-07-23,106.300003,108.139999,106.129997,107.970001,104.186806,29707000
2018-07-24,48.112499,48.415001,48.012501,48.250000,46.730930,74791600;2018-07-24,113.550003,114.779999,113.419998,114.150002,105.313713,14000400;2018-07-24,108.570000,108.820000,107.260002,107.660004,103.887672,26316600
2018-07-25,48.264999,48.712502,48.107498,48.705002,47.171604,66839600;2018-07-25,113.879997,115.519997,113.379997,115.180000,106.263992,13329100;2018-07-25,107.959999,111.150002,107.599998,110.830002,106.946594,30702100
2018-07-26,48.652500,48.990002,48.402500,48.552502,47.023903,76304000;2018-07-26,115.419998,115.589996,114.580002,114.849998,105.959526,11897800;2018-07-26,110.739998,111.000000,109.500000,109.620003,105.778992,31372100
2018-07-27,48.747501,48.797501,47.525002,47.744999,46.241833,96096000;2018-07-27,115.180000,116.300003,114.809998,116.029999,107.048187,12802700;2018-07-27,110.180000,110.180000,106.139999,107.680000,103.906967,37005300
2018-07-30,47.974998,48.049999,47.267502,47.477501,45.982750,84118000;2018-07-30,116.279999,117.610001,116.059998,116.730003,107.694008,13411600;2018-07-30,107.190002,107.529999,104.760002,105.370003,101.677917,34668300
2018-07-31,47.575001,48.035000,47.334999,47.572498,46.074760,157492000;2018-07-31,117.080002,117.080002,114.820000,114.949997,106.051781,15843800;2018-07-31,106.489998,106.720001,105.379997,106.080002,102.363037,27655200
2018-08-01,49.782501,50.439999,49.327499,50.375000,48.789028,271742800;2018-08-01,115.750000,116.690002,115.279999,115.660004,106.706833,13531600;2018-08-01,106.029999,106.449997,105.419998,106.279999,102.556030,23628700
2018-08-02,50.145000,52.095001,50.087502,51.847500,50.215172,249616000;2018-08-02,114.570000,116.250000,114.330002,116.150002,107.158905,11058100;2018-08-02,105.400002,108.089996,104.839996,107.570000,103.800819,26104300
2018-08-03,51.757500,52.185001,51.369999,51.997501,50.360447,133789600;2018-08-03,116.000000,117.129997,115.940002,117.089996,108.026138,11016100;2018-08-03,107.800003,108.050003,106.820000,108.040001,104.254356,18659600
2018-08-06,52.000000,52.312500,51.767502,52.267502,50.621956,101701600;2018-08-06,116.790001,117.529999,116.180000,117.120003,108.053810,9857400;2018-08-06,108.120003,108.419998,107.559998,108.129997,104.341194,20265900
2018-08-07,52.330002,52.375000,51.689999,51.777500,50.147373,102349600;2018-08-07,117.739998,118.290001,117.330002,117.550003,108.450539,10562100;2018-08-07,108.559998,109.099998,108.169998,108.879997,105.064926,16080200
2018-08-08,51.512501,51.952499,51.130001,51.812500,50.181278,90102000;2018-08-08,117.330002,118.269997,117.279999,117.790001,108.671959,8997100;2018-08-08,109.330002,109.750000,108.760002,109.489998,105.653549,15487500
2018-08-09,52.382500,52.445000,51.799999,52.220001,50.575943,93970400;2018-08-09,117.510002,117.720001,116.699997,116.879997,107.832382,9694200;2018-08-09,109.709999,110.160004,109.599998,109.669998,105.827240,13677200
2018-08-10,51.840000,52.275002,51.667500,51.882500,50.425297,98444800;2018-08-10,115.500000,115.949997,114.680000,115.730003,106.771416,12630600;2018-08-10,109.419998,109.690002,108.379997,109.000000,105.180717,18183700
2018-08-13,52.327499,52.737499,51.924999,52.217499,50.750893,103563600;2018-08-13,115.559998,115.879997,113.820000,113.889999,105.073845,10336300;2018-08-13,109.239998,109.580002,108.099998,108.209999,104.418396,18472500
2018-08-14,52.540001,52.639999,52.064999,52.437500,50.964718,82992000;2018-08-14,114.269997,115.040001,113.650002,114.650002,105.775017,10597600;2018-08-14,108.559998,109.750000,108.040001,109.559998,105.721100,16788300
2018-08-15,52.305000,52.685001,52.082500,52.560001,51.083775,115230400;2018-08-15,113.820000,114.330002,112.970001,113.699997,104.898552,10152100;2018-08-15,108.489998,108.989998,106.820000,107.660004,104.287460,29982800
2018-08-16,52.937500,53.452499,52.867500,53.330002,51.832146,114001600;2018-08-16,114.349998,115.309998,114.300003,114.769997,105.885712,10118600;2018-08-16,108.300003,108.860001,107.300003,107.639999,104.268089,21384300
2018-08-17,53.360001,54.487499,53.290001,54.395000,52.867237,141708000;2018-08-17,114.639999,115.070000,114.300003,114.769997,105.885712,8505100;2018-08-17,107.360001,107.900002,106.690002,107.580002,104.209976,18061500
2018-08-20,54.525002,54.794998,53.777500,53.865002,52.352116,121150800;2018-08-20,114.589996,115.050003,114.110001,114.620003,105.747330,8618700;2018-08-20,107.510002,107.900002,106.480003,106.870003,103.522209,17914200
2018-08-21,54.200001,54.297501,53.507500,53.759998,52.250061,104639200;2018-08-21,115.370003,116.389999,114.879997,115.320000,106.393143,10976700;2018-08-21,106.919998,107.349998,105.849998,105.980003,102.660103,22881900
2018-08-22,53.525002,54.090000,53.459999,53.762501,52.252495,76072400;2018-08-22,115.309998,115.410004,114.779999,114.970001,106.070259,8314700;2018-08-22,105.849998,107.339996,105.779999,107.059998,103.706261,18000600
2018-08-23,53.662498,54.262501,53.650002,53.872501,52.359406,75532800;2018-08-23,114.959999,115.150002,114.430000,114.730003,105.848831,9265400;2018-08-23,107.150002,108.180000,106.870003,107.559998,104.190598,18167700
2018-08-24,54.150002,54.224998,53.777500,54.040001,52.522209,73905600;2018-08-24,114.980003,115.220001,114.449997,114.680000,105.802681,8845700;2018-08-24,107.669998,108.559998,107.559998,108.400002,105.004280,17234000
2018-08-27,54.287498,54.685001,54.082500,54.485001,52.954708,82100400;2018-08-27,115.220001,117.279999,115.169998,116.709999,107.675537,13768000;2018-08-27,109.269997,109.639999,108.510002,109.599998,106.166672,19662300
2018-08-28,54.752499,55.134998,54.730000,54.924999,53.382347,91107200;2018-08-28,117.000000,117.029999,115.970001,116.139999,107.149673,8302600;2018-08-28,109.940002,110.500000,109.790001,110.260002,106.806015,19151500
2018-08-29,55.037498,55.872501,54.852501,55.744999,54.179314,109019200;2018-08-29,116.349998,116.370003,115.360001,115.760002,106.799095,7221700;2018-08-29,110.449997,112.029999,110.269997,112.019997,108.510880,20818000
2018-08-30,55.812500,57.064999,55.599998,56.257500,54.677422,195175200;2018-08-30,115.589996,116.040001,114.980003,115.190002,106.273209,8991800;2018-08-30,111.669998,112.610001,111.440002,111.949997,108.443069,22798700
2018-08-31,56.627499,57.217499,56.500000,56.907501,55.309166,173360400;2018-08-31,114.830002,114.839996,113.820000,114.580002,105.710426,13065700;2018-08-31,111.690002,112.779999,111.519997,112.330002,108.811172,23222700
2018-09-04,57.102501,57.294998,56.657501,57.090000,55.486542,109560400;2018-09-04,114.339996,115.239998,113.629997,115.150002,106.236305,10174200;2018-09-04,110.849998,111.959999,110.220001,111.709999,108.210587,22634600
2018-09-05,57.247501,57.417500,56.275002,56.717499,55.124504,133332000;2018-09-05,115.000000,115.699997,114.250000,114.589996,105.719650,11462400;2018-09-05,111.010002,111.419998,108.099998,108.489998,105.091461,32872400
2018-09-06,56.557499,56.837502,55.325001,55.775002,54.208473,137160000;2018-09-06,114.500000,114.699997,113.500000,114.099998,105.267601,9877600;2018-09-06,108.250000,108.989998,107.510002,108.739998,105.333626,23477600
2018-09-07,55.462502,56.342499,55.177502,55.325001,53.771114,150479200;2018-09-07,114.500000,114.769997,113.629997,114.320000,105.470566,10955600;2018-09-07,108.230003,108.720001,107.230003,108.209999,104.820236,22498600
2018-09-10,55.237499,55.462502,54.117500,54.582500,53.049461,158066000;2018-09-10,114.849998,114.970001,113.660004,113.709999,104.907784,8276900;2018-09-10,108.839996,109.639999,108.360001,109.379997,105.953583,20727900
2018-09-11,54.502499,56.075001,54.139999,55.962502,54.390709,142996000;2018-09-11,113.540001,114.580002,113.180000,114.430000,105.572052,9333800;2018-09-11,108.900002,111.589996,108.889999,111.239998,107.755302,24301800
2018-09-12,56.235001,56.250000,54.959999,55.267502,53.715229,197114800;2018-09-12,114.250000,114.879997,112.849998,113.080002,104.326553,10800800;2018-09-12,111.430000,111.849998,110.510002,111.709999,108.210587,18891100
2018-09-13,55.880001,57.087502,55.642502,56.602501,55.012730,166825600;2018-09-13,113.370003,114.129997,112.669998,113.519997,104.732483,12470800;2018-09-13,112.120003,113.730003,112.120003,112.910004,109.373001,26055600
2018-09-14,56.437500,56.709999,55.630001,55.959999,54.388279,127997200;2018-09-14,113.809998,114.489998,113.230003,113.500000,104.714035,10337900;2018-09-14,113.360001,113.730003,112.440002,113.370003,109.818588,19122300
2018-09-17,55.537498,55.737499,54.317501,54.470001,52.940132,148780400;2018-09-17,113.790001,114.430000,113.300003,113.839996,105.027718,9561300;2018-09-17,113.690002,113.699997,111.860001,112.139999,108.627121,20736500
2018-09-18,54.447498,55.462502,54.279999,54.560001,53.027596,126286800;2018-09-18,114.330002,114.660004,113.559998,114.300003,105.452118,7944200;2018-09-18,112.190002,113.699997,111.720001,113.209999,109.663589,22170900
2018-09-19,54.625000,54.904999,53.825001,54.592499,53.059189,108495200;2018-09-19,114.440002,118.059998,114.440002,117.620003,108.515099,16052800;2018-09-19,113.050003,113.320000,111.040001,111.699997,108.200890,21728400
2018-09-20,55.060001,55.570000,54.787498,55.007500,53.462528,106435200;2018-09-20,118.500000,119.239998,118.080002,118.629997,109.446922,15590000;2018-09-20,112.279999,113.800003,111.930000,113.570000,110.012314,23714500
2018-09-21,55.195000,55.340000,54.322498,54.415001,52.886673,384986800;2018-09-21,119.129997,119.230003,117.739998,117.849998,108.727310,24788200;2018-09-21,114.000000,115.290001,113.510002,114.260002,110.680717,71229700
2018-09-24,54.205002,55.314999,54.157501,55.197498,53.647190,110773600;2018-09-24,117.760002,118.459999,116.430000,116.720001,107.684792,12492500;2018-09-24,113.029999,114.900002,112.220001,114.669998,111.077866,27334500
2018-09-25,54.937500,55.705002,54.924999,55.547501,53.987362,98217600;2018-09-25,117.040001,117.970001,116.320000,116.389999,107.380325,9308300;2018-09-25,114.800003,115.099998,113.750000,114.449997,110.864746,22668000
2018-09-26,55.250000,55.937500,54.939999,55.105000,53.557297,95938800;2018-09-26,116.750000,116.870003,114.660004,115.019997,106.116379,14023600;2018-09-26,114.470001,115.059998,113.739998,113.980003,110.409492,19352000
2018-09-27,55.955002,56.610001,55.884998,56.237499,54.657978,120724800;2018-09-27,115.419998,115.760002,114.160004,114.519997,105.655067,13283000;2018-09-27,114.779999,114.910004,114.199997,114.410004,110.826019,19091300
2018-09-28,56.197498,56.459999,56.005001,56.435001,54.849937,91717600;2018-09-28,113.650002,114.239998,112.519997,112.839996,104.105125,15815100;2018-09-28,114.190002,114.570000,113.680000,114.370003,110.787262,21647800
2018-10-01,56.987499,57.355000,56.587502,56.814999,55.219261,94403200;2018-10-01,113.370003,114.610001,113.040001,113.500000,104.714035,10146300;2018-10-01,114.750000,115.680000,114.730003,115.610001,111.988419,18883100
2018-10-02,56.812500,57.500000,56.657501,57.320000,55.710079,99152800;2018-10-02,113.360001,114.120003,112.809998,113.970001,105.147652,13753100;2018-10-02,115.300003,115.839996,114.440002,115.150002,111.542839,20787200
2018-10-03,57.512501,58.367500,57.445000,58.017502,56.387985,114619200;2018-10-03,114.940002,115.660004,114.480003,115.040001,106.134827,17142000;2018-10-03,115.419998,116.180000,114.930000,115.169998,111.562202,16648000
2018-10-04,57.695000,58.087502,56.682499,56.997501,55.396641,128168000;2018-10-04,114.550003,116.809998,114.209999,115.269997,107.091736,16357400;2018-10-04,114.610001,114.760002,111.629997,112.790001,109.256752,34821700
2018-10-05,56.990002,57.102501,55.145000,56.072498,54.497620,134322000;2018-10-05,115.830002,116.099998,114.019997,114.620003,106.487862,13777600;2018-10-05,112.629997,113.169998,110.639999,112.129997,108.617439,29068900
2018-10-08,55.552502,56.200001,55.049999,55.942501,54.371277,118655600;2018-10-08,114.250000,115.779999,113.349998,115.320000,107.138199,14370900;2018-10-08,111.660004,112.029999,109.339996,110.849998,107.377533,29640600
2018-10-09,55.910000,56.817501,55.562500,56.717499,55.124504,107564000;2018-10-09,114.669998,115.029999,113.669998,114.519997,106.394943,14069500;2018-10-09,111.139999,113.080002,110.800003,112.260002,108.743362,26198600
2018-10-10,56.365002,56.587502,54.012501,54.090000,52.570805,167962400;2018-10-10,114.699997,114.949997,111.470001,111.470001,103.561348,23086400;2018-10-10,111.239998,111.500000,105.790001,106.160004,102.834457,61376300
2018-10-11,53.630001,54.875000,53.080002,53.612499,52.106712,212497600;2018-10-11,110.970001,111.470001,107.379997,108.129997,100.458313,33705600;2018-10-11,105.349998,108.930000,104.199997,105.910004,102.592285,63904300
2018-10-12,55.105000,55.720001,54.209999,55.527500,53.967926,161351600;2018-10-12,110.370003,110.830002,105.599998,106.949997,99.362030,32075700;2018-10-12,109.010002,111.239998,107.120003,109.570000,106.137634,47742100
2018-10-15,55.290001,55.457500,54.317501,54.340000,52.813778,123164000;2018-10-15,107.199997,108.849998,106.320000,106.339996,98.795311,18903200;2018-10-15,108.910004,109.480003,106.949997,107.599998,104.229332,32068100
2018-10-16,54.732498,55.747501,54.189999,55.537498,53.977646,116736000;2018-10-16,107.160004,108.779999,106.730003,108.620003,100.913551,19302800;2018-10-16,109.540001,111.410004,108.949997,111.000000,107.522835,31610200
2018-10-17,55.575001,55.660000,54.834999,55.297501,53.744381,91541600;2018-10-17,108.379997,110.800003,108.230003,109.830002,102.037704,18794500;2018-10-17,111.680000,111.809998,109.550003,110.709999,107.241898,26548200
2018-10-18,54.465000,54.935001,53.250000,54.005001,52.488186,130325200;2018-10-18,109.019997,109.839996,107.809998,108.089996,100.421165,17582500;2018-10-18,110.099998,110.529999,107.830002,108.500000,105.101143,32506200
2018-10-19,54.514999,55.314999,54.357498,54.827499,53.287582,132314800;2018-10-19,107.650002,109.220001,107.269997,107.910004,100.253922,15234500;2018-10-19,108.930000,110.860001,108.209999,108.660004,105.256142,32785500
2018-10-22,54.947498,55.840000,54.735001,55.162498,53.613182,115168400;2018-10-22,108.150002,108.339996,106.110001,106.360001,98.813904,16199100;2018-10-22,109.320000,110.540001,108.239998,109.629997,106.195747,26545600
2018-10-23,53.957500,55.812500,53.674999,55.682499,54.118568,155071200;2018-10-23,104.199997,106.160004,103.699997,105.250000,97.782646,21407500;2018-10-23,107.769997,108.970001,105.110001,108.099998,104.713676,43770400
2018-10-24,55.650002,56.057499,53.634998,53.772499,52.262215,163702000;2018-10-24,104.760002,105.029999,102.910004,103.290001,95.961716,23168900;2018-10-24,108.410004,108.489998,101.589996,102.320000,99.114746,63897800
2018-10-25,54.427502,55.345001,54.187500,54.950001,53.406643,119423200;2018-10-25,104.180000,105.900002,103.720001,104.860001,97.420326,17464700;2018-10-25,106.550003,109.269997,106.150002,108.300003,104.907417,61646800
2018-10-26,53.974998,55.047501,53.167500,54.075001,52.556217,189033600;2018-10-26,104.000000,104.559998,102.730003,103.419998,96.082474,19174900;2018-10-26,105.690002,108.750000,104.760002,106.959999,103.609390,55523100
2018-10-29,54.797501,54.922501,51.522499,53.060001,51.569733,183742000;2018-10-29,104.459999,106.629997,103.699997,104.849998,97.411026,18445200;2018-10-29,108.110001,108.699997,101.629997,103.849998,100.596809,55162000
2018-10-30,52.787498,53.794998,52.317501,53.325001,51.827282,146640000;2018-10-30,105.709999,106.980003,104.860001,106.699997,99.129776,18019700;2018-10-30,103.660004,104.379997,100.110001,103.730003,100.480568,65350900
2018-10-31,54.220001,55.112499,54.154999,54.715000,53.178249,153435600;2018-10-31,108.080002,110.480003,107.790001,109.019997,101.285164,20860000;2018-10-31,105.440002,108.139999,105.389999,106.809998,103.464081,51062400
2018-11-01,54.762501,55.590000,54.202499,55.555000,53.994656,233292800;2018-11-01,109.620003,110.220001,108.320000,108.980003,101.248016,13065000;2018-11-01,107.050003,107.320000,105.529999,105.919998,102.601967,33384200
2018-11-02,52.387501,53.412498,51.357498,51.869999,50.413158,365314800;2018-11-02,109.900002,110.809998,107.489998,108.379997,100.690582,19009200;2018-11-02,106.480003,107.320000,104.980003,106.160004,102.834457,37680200
2018-11-05,51.075001,51.097500,49.542500,50.397499,48.982002,264654800;2018-11-05,108.610001,109.290001,108.419998,109.089996,101.350204,10276400;2018-11-05,106.370003,107.739998,105.900002,107.510002,104.142166,27922100
2018-11-06,50.480000,51.180000,50.422501,50.942501,49.511700,127531600;2018-11-06,108.669998,109.669998,107.760002,109.599998,101.824020,10825000;2018-11-06,107.379997,108.839996,106.279999,107.720001,104.345596,24340200
2018-11-07,51.492500,52.514999,51.032501,52.487499,51.013309,133697600;2018-11-07,110.370003,111.730003,109.349998,111.480003,103.570641,12679600;2018-11-07,109.440002,112.239998,109.400002,111.959999,108.452751,37901700
2018-11-08,52.494999,52.529999,51.687500,52.122501,50.835320,101450400;2018-11-08,111.010002,112.930000,111.000000,112.379997,104.406776,11662500;2018-11-08,111.800003,112.209999,110.910004,111.750000,108.249336,25644100
2018-11-09,51.387501,51.502499,50.562500,51.117500,49.855137,137463200;2018-11-09,112.230003,112.360001,110.830002,111.290001,103.394119,10432200;2018-11-09,110.849998,111.449997,108.760002,109.570000,106.137634,32039200
2018-11-12,49.750000,49.962502,48.447498,48.542500,47.343723,204542000;2018-11-12,111.419998,111.940002,108.599998,108.949997,101.220131,13279700;2018-11-12,109.419998,109.959999,106.099998,106.870003,103.522209,33621800
2018-11-13,47.907501,49.294998,47.862499,48.057499,46.870705,187531600;2018-11-13,109.099998,111.120003,109.099998,109.589996,101.814735,13746100;2018-11-13,107.550003,108.739998,106.639999,106.940002,103.590004,35374600
2018-11-14,48.474998,48.619999,46.482498,46.700001,45.546726,243204000;2018-11-14,110.230003,110.709999,105.980003,107.330002,99.715088,18361400;2018-11-14,108.099998,108.260002,104.470001,104.970001,102.120995,39495100
2018-11-15,47.097500,47.992500,46.724998,47.852501,46.670769,185915200;2018-11-15,108.239998,110.080002,106.809998,110.070000,102.260666,19100000;2018-11-15,104.989998,107.800003,103.910004,107.279999,104.368301,38505200
2018-11-16,47.625000,48.742500,47.365002,48.382500,47.187675,147713200;2018-11-16,109.449997,110.760002,108.550003,109.989998,102.186356,13798600;2018-11-16,107.080002,108.879997,106.800003,108.290001,105.350899,33502100
2018-11-19,47.500000,47.674999,46.247501,46.465000,45.317532,167701200;2018-11-19,109.959999,111.199997,109.529999,110.830002,102.966759,13987000;2018-11-19,108.269997,108.559998,103.550003,104.620003,101.780502,44773900
2018-11-20,44.592499,45.367500,43.877499,44.244999,43.152348,271300800;2018-11-20,109.779999,110.489998,107.980003,108.449997,100.755615,18936200;2018-11-20,101.800003,102.970001,99.349998,101.709999,98.949486,64052500
2018-11-21,44.932499,45.067501,44.137501,44.195000,43.103588,124496800;2018-11-21,109.029999,109.610001,107.639999,107.639999,100.003075,10619600;2018-11-21,103.599998,104.430000,102.239998,103.110001,100.311478,28130600
2018-11-23,43.735001,44.150002,43.025002,43.072498,42.008812,94496000;2018-11-23,106.739998,107.389999,106.059998,106.650002,99.083321,6488400;2018-11-23,102.169998,103.809998,102.000000,103.070000,100.272575,13823100
2018-11-26,43.560001,43.737499,42.564999,43.654999,42.576923,179994000;2018-11-26,107.720001,109.980003,107.449997,109.260002,101.508163,13948300;2018-11-26,104.790001,106.629997,104.580002,106.470001,103.580299,32336200
2018-11-27,42.877499,43.692501,42.720001,43.560001,42.484268,165549600;2018-11-27,108.760002,110.029999,108.629997,109.720001,101.935509,9238200;2018-11-27,106.269997,107.330002,105.360001,107.139999,104.232109,29124500
2018-11-28,44.182499,45.322498,43.732498,45.235001,44.117905,184250000;2018-11-28,109.800003,111.400002,108.870003,110.940002,103.068954,13977300;2018-11-28,107.889999,111.330002,107.860001,111.120003,108.104080,46788500
2018-11-29,45.665001,45.700001,44.424999,44.887501,43.778992,167080000;2018-11-29,110.269997,110.800003,109.639999,110.059998,102.251373,11144300;2018-11-29,110.330002,111.120003,109.029999,110.190002,107.199326,28123200
2018-11-30,45.072498,45.082500,44.257500,44.645000,43.542480,158126000;2018-11-30,109.849998,111.320000,109.580002,111.190002,103.301208,18652700;2018-11-30,110.699997,110.970001,109.360001,110.889999,107.880325,33665600
2018-12-03,46.115002,46.235001,45.302502,46.205002,45.063950,163210000;2018-12-03,112.379997,112.889999,111.739998,112.239998,104.276703,16034500;2018-12-03,113.000000,113.419998,110.730003,112.089996,109.047752,34732800
2018-12-04,45.237499,45.597500,44.067501,44.172501,43.081646,165377200;2018-12-04,111.599998,111.599998,106.730003,107.230003,99.622177,23555900;2018-12-04,111.940002,112.639999,108.209999,108.519997,105.574638,45197000
2018-12-06,42.939999,43.695000,42.605000,43.680000,42.601311,172393600;2018-12-06,105.010002,105.360001,102.879997,105.190002,97.726906,27213900;2018-12-06,105.820000,109.239998,105.000000,109.190002,106.226463,49107400
2018-12-07,43.372501,43.622501,42.075001,42.122501,41.082272,169126400;2018-12-07,105.160004,106.980003,102.910004,103.290001,95.961716,19248600;2018-12-07,108.379997,109.449997,104.300003,104.820000,101.975067,45044900
2018-12-10,41.250000,42.522499,40.832500,42.400002,41.352917,248104000;2018-12-10,102.870003,103.489998,99.279999,101.360001,94.168640,23636400;2018-12-10,104.800003,107.980003,103.889999,107.589996,104.669884,40801500
2018-12-11,42.915001,42.947498,41.750000,42.157501,41.116405,189126800;2018-12-11,103.129997,103.660004,100.209999,100.370003,93.248886,16860700;2018-12-11,109.800003,110.949997,107.440002,108.589996,105.642738,42381900
2018-12-12,42.599998,42.980000,42.255001,42.275002,41.231007,142510800;2018-12-12,101.660004,102.900002,100.059998,101.019997,93.852760,22621500;2018-12-12,110.889999,111.269997,109.040001,109.080002,106.119446,36183000
2018-12-13,42.622501,43.142502,42.387501,42.737499,41.682083,127594400;2018-12-13,101.550003,101.970001,100.669998,101.120003,93.945679,17250900;2018-12-13,109.580002,110.870003,108.629997,109.449997,106.479401,31333400
2018-12-14,42.250000,42.270000,41.320000,41.369999,40.348351,162814800;2018-12-14,99.989998,101.940002,99.860001,100.290001,93.174561,19879500;2018-12-14,108.250000,109.260002,105.500000,106.029999,103.152237,47043100
2018-12-17,41.362499,42.087502,40.682499,40.985001,39.972862,177151600;2018-12-17,99.769997,100.559998,98.440002,99.010002,91.985359,25113500;2018-12-17,105.410004,105.800003,101.709999,102.889999,100.097458,56957300
2018-12-18,41.345001,41.882500,41.097500,41.517502,40.492210,135366000;2018-12-18,99.419998,100.889999,98.120003,98.540001,91.548714,20837200;2018-12-18,103.750000,104.510002,102.519997,103.970001,101.148140,49319200
2018-12-19,41.500000,41.862499,39.772499,40.222500,39.229183,196189200;2018-12-19,98.410004,100.580002,96.599998,97.290001,90.387405,28767900;2018-12-19,103.650002,106.879997,101.349998,103.690002,100.875732,68198200
2018-12-20,40.099998,40.527500,38.825001,39.207500,38.239254,259092000;2018-12-20,96.610001,98.279999,95.690002,96.449997,89.606987,31825200;2018-12-20,103.050003,104.309998,98.779999,101.510002,98.754906,70334200
2018-12-21,39.215000,39.540001,37.407501,37.682499,36.751911,382978400;2018-12-21,96.680000,98.430000,93.690002,94.169998,87.488762,41313900;2018-12-21,101.629997,103.000000,97.459999,98.230003,95.563919,111242100
2018-12-24,37.037498,37.887501,36.647499,36.707500,35.800995,148676800;2018-12-24,92.889999,94.220001,92.139999,92.139999,85.602783,17009300;2018-12-24,97.680000,97.970001,93.980003,94.129997,91.575211,43935200
2018-12-26,37.075001,39.307499,36.680000,39.292500,38.322155,234330000;2018-12-26,92.690002,95.959999,91.110001,95.959999,89.151764,22542900;2018-12-26,95.139999,100.690002,93.959999,100.559998,97.830696,51634800
2018-12-27,38.959999,39.192501,37.517502,39.037498,38.073456,212468400;2018-12-27,94.820000,97.150002,93.550003,97.040001,90.155144,20304700;2018-12-27,99.300003,101.190002,96.400002,101.180000,98.433876,49498500
2018-12-28,39.375000,39.630001,38.637501,39.057499,38.092960,169165600;2018-12-28,97.949997,98.320000,96.440002,96.830002,89.960045,17963300;2018-12-28,102.089996,102.410004,99.519997,100.389999,97.665306,38196300
2018-12-31,39.632500,39.840000,39.119999,39.435001,38.461140,140014000;2018-12-31,97.589996,98.809998,96.769997,97.620003,90.693993,13237200;2018-12-31,101.290001,102.400002,100.440002,101.570000,98.813278,33173800
2019-01-02,38.722500,39.712502,38.557499,39.480000,38.505024,148158800;2019-01-02,95.949997,99.779999,95.940002,99.309998,92.264069,15670900;2019-01-02,99.550003,101.750000,98.940002,101.120003,98.375481,35329300
