AAPL;JPM;MSFT
Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume;Date,Open,High,Low,Close,Adj Close,Volume
2018-02-12,39.625000,40.972500,39.377499,40.677502,39.245506,243278000;2018-02-12,111.169998,112.730003,110.070000,111.739998,102.015762,18043300;2018-02-12,88.739998,89.779999,87.930000,89.129997,85.235382,35720300
2018-02-13,40.487499,41.187500,40.412498,41.084999,39.638657,130196800;2018-02-13,111.320000,113.050003,110.800003,112.430000,102.645706,16358200;2018-02-13,88.930000,90.000000,87.800003,89.830002,85.904808,26407700
2018-02-14,40.759998,41.884998,40.720001,41.842499,40.369492,162579600;2018-02-14,112.629997,115.269997,112.529999,115.029999,105.019440,15186900;2018-02-14,88.510002,90.989998,88.410004,90.809998,87.249916,34960900
2018-02-15,42.447498,43.272499,42.250000,43.247501,41.725037,204588800;2018-02-15,115.739998,115.989998,114.220001,115.510002,105.457664,12130200;2018-02-15,91.209999,92.720001,90.620003,92.660004,89.027390,27823900
2018-02-16,43.090000,43.705002,42.942501,43.107498,41.589962,160704400;2018-02-16,114.550003,116.070000,114.500000,114.680000,104.699898,13214300;2018-02-16,92.449997,93.500000,91.800003,92.000000,88.393265,30596900
2018-02-20,43.012501,43.564999,42.855000,42.962502,41.450069,135722000;2018-02-20,114.650002,115.389999,113.970001,114.709999,104.727287,13461500;2018-02-20,91.480003,93.059998,91.010002,92.720001,89.085037,30911700
2018-02-21,43.207500,43.529999,42.752499,42.767502,41.261936,149886400;2018-02-21,115.000000,117.449997,114.669998,115.190002,105.165520,14212500;2018-02-21,92.980003,93.360001,91.489998,91.489998,87.903244,26922500
2018-02-22,42.950001,43.487499,42.927502,43.125000,41.606850,123967600;2018-02-22,115.500000,116.430000,114.760002,114.980003,104.973778,17070400;2018-02-22,92.050003,92.730003,91.360001,91.730003,88.133842,24392800
2018-02-23,43.417500,43.912498,43.384998,43.875000,42.330452,135249600;2018-02-23,115.309998,117.389999,115.309998,117.309998,107.101013,12162500;2018-02-23,93.599998,94.070000,92.360001,94.059998,90.372498,26329200
2018-02-26,44.087502,44.847500,44.052502,44.742500,43.167404,152648800;2018-02-26,118.139999,118.900002,117.320000,118.769997,108.433952,16511200;2018-02-26,94.400002,95.449997,94.250000,95.419998,91.679169,30199800
2018-02-27,44.775002,45.119999,44.540001,44.597500,43.027515,155712400;2018-02-27,118.910004,119.330002,117.349998,117.360001,107.146675,17563300;2018-02-27,95.739998,95.839996,94.199997,94.199997,90.507004,25869100
2018-02-28,44.814999,45.154999,44.512501,44.529999,42.962379,151128400;2018-02-28,117.820000,118.489998,115.339996,115.500000,105.448540,17735600;2018-02-28,94.839996,95.709999,93.629997,93.769997,90.093872,31167300
2018-03-01,44.634998,44.945000,43.165001,43.750000,42.209846,195208000;2018-03-01,115.480003,116.639999,112.650002,113.430000,103.558685,18690000;2018-03-01,93.989998,94.570000,91.839996,92.849998,89.209938,37135600
2018-03-02,43.200001,44.075001,43.112499,44.052502,42.501698,153816000;2018-03-02,112.389999,113.559998,111.120003,113.320000,103.458252,18353700;2018-03-02,91.580002,93.150002,90.860001,93.050003,89.402100,32830400
2018-03-05,43.802502,44.435001,43.630001,44.205002,42.648827,113605600;2018-03-05,112.050003,115.930000,111.889999,115.059998,105.046837,13933000;2018-03-05,92.339996,94.269997,92.260002,93.639999,89.968971,23901600
2018-03-06,44.477501,44.562500,44.032501,44.167500,42.612656,95154000;2018-03-06,115.639999,115.820000,114.320000,115.160004,105.138145,10674400;2018-03-06,94.339996,94.489998,92.940002,93.320000,89.661507,22175800
2018-03-07,43.735001,43.962502,43.567501,43.757500,42.217075,126814000;2018-03-07,113.750000,115.099998,113.110001,114.730003,104.745560,13006500;2018-03-07,93.160004,93.940002,92.430000,93.860001,90.180336,26716100
2018-03-08,43.869999,44.279999,43.767502,44.235001,42.677765,95096400;2018-03-08,115.110001,115.230003,113.209999,114.739998,104.754684,11173700;2018-03-08,94.269997,95.099998,93.769997,94.430000,90.727989,25887800
2018-03-09,44.490002,45.000000,44.347500,44.994999,43.411015,128740800;2018-03-09,116.550003,118.080002,115.669998,118.040001,107.767494,15366600;2018-03-09,95.290001,96.540001,95.000000,96.540001,92.755272,36937300
2018-03-12,45.072498,45.597500,45.052502,45.430000,43.830696,128828400;2018-03-12,118.000000,118.750000,117.250000,117.660004,107.420570,12339300;2018-03-12,96.500000,97.209999,96.040001,96.769997,92.976250,26073700
2018-03-13,45.647499,45.875000,44.810001,44.992500,43.408604,126774000;2018-03-13,118.199997,118.470001,115.830002,116.250000,106.133270,13312300;2018-03-13,97.000000,97.239998,93.970001,94.410004,90.708778,35387800
2018-03-14,45.080002,45.130001,44.452499,44.610001,43.039566,117473600;2018-03-14,116.559998,116.589996,114.599998,114.949997,104.946381,12905100;2018-03-14,95.120003,95.410004,93.500000,93.849998,90.170731,32132000
2018-03-15,44.625000,45.060001,44.517502,44.662498,43.090221,90975200;2018-03-15,115.870003,116.000000,114.830002,115.239998,105.211166,8748000;2018-03-15,93.529999,94.580002,92.830002,94.180000,90.487793,27611000
