date,JPM,MSFT
27/09/1990,1.857239,0.52388
28/09/1990,2.038031,0.557037
01/10/1990,2.038031,0.59351
02/10/1990,2.038031,0.582458
03/10/1990,1.939417,0.581352
04/10/1990,1.988723,0.566984
05/10/1990,2.070902,0.57251
08/10/1990,2.054466,0.583563
09/10/1990,2.021596,0.557037
10/10/1990,1.972288,0.52609
11/10/1990,1.742188,0.512828
12/10/1990,1.66001,0.503986
15/10/1990,1.692881,0.499565
16/10/1990,1.692881,0.482987
17/10/1990,1.643573,0.499565
18/10/1990,1.643573,0.540458
19/10/1990,1.676444,0.548195
22/10/1990,1.676444,0.565879
23/10/1990,1.66001,0.568089
24/10/1990,1.610701,0.578036
25/10/1990,1.610701,0.57251
26/10/1990,1.479216,0.560352
29/10/1990,1.397037,0.552616
30/10/1990,1.429909,0.564773
31/10/1990,1.331295,0.563668
01/11/1990,1.429909,0.561458
02/11/1990,1.528524,0.574721
05/11/1990,1.512088,0.580246
06/11/1990,1.46278,0.568089
07/11/1990,1.413473,0.563668
08/11/1990,1.479216,0.561458
09/11/1990,1.46278,0.57251
12/11/1990,1.57783,0.608983
13/11/1990,1.544959,0.606772
14/11/1990,1.627137,0.614509
15/11/1990,1.57783,0.600141
16/11/1990,1.610701,0.601246
19/11/1990,1.643573,0.614509
20/11/1990,1.544959,0.603457
21/11/1990,1.528524,0.607877
23/11/1990,1.495652,0.607877
26/11/1990,1.544959,0.62114
27/11/1990,1.544959,0.635509
28/11/1990,1.495652,0.622246
29/11/1990,1.446345,0.629982
30/11/1990,1.495652,0.638824
03/12/1990,1.57783,0.653192
04/12/1990,1.643573,0.658718
05/12/1990,1.775059,0.66535
06/12/1990,1.742188,0.660928
07/12/1990,1.742188,0.656508
10/12/1990,1.725435,0.654297
11/12/1990,1.691932,0.637719
12/12/1990,1.708684,0.641034
13/12/1990,1.658429,0.643245
14/12/1990,1.591421,0.650981
17/12/1990,1.474159,0.654297
18/12/1990,1.557918,0.66535
19/12/1990,1.574669,0.662034
20/12/1990,1.591421,0.66756
21/12/1990,1.524415,0.66977
24/12/1990,1.507662,0.66535
26/12/1990,1.524415,0.663139
27/12/1990,1.49091,0.660928
28/12/1990,1.457407,0.663139
31/12/1990,1.440655,0.66535
02/01/1991,1.507662,0.660928
03/01/1991,1.507662,0.66535
04/01/1991,1.524415,0.670875
07/01/1991,1.457407,0.662034
08/01/1991,1.457407,0.649876
09/01/1991,1.407152,0.654297
10/01/1991,1.440655,0.691875
11/01/1991,1.474159,0.689664
14/01/1991,1.423904,0.678612
15/01/1991,1.457407,0.69298
16/01/1991,1.474159,0.727243
17/01/1991,1.474159,0.742716
18/01/1991,1.49091,0.753768
21/01/1991,1.574669,0.791347
22/01/1991,1.675181,0.78582
23/01/1991,1.691932,0.786925
24/01/1991,1.675181,0.800187
25/01/1991,1.775691,0.791347
28/01/1991,1.775691,0.815661
29/01/1991,1.792442,0.817871
30/01/1991,1.742188,0.851029
31/01/1991,1.758939,0.867607
01/02/1991,1.825947,0.881976
04/02/1991,2.077224,0.876449
05/02/1991,2.060472,0.895238
06/02/1991,2.060472,0.935026
07/02/1991,2.077224,0.910711
08/02/1991,2.127478,0.919552
11/02/1991,2.3285,0.921764
12/02/1991,2.294998,0.912922
13/02/1991,2.378757,0.932816
14/02/1991,2.278246,0.890817
15/02/1991,2.3285,0.912922
19/02/1991,2.278246,0.90629
20/02/1991,2.177734,0.9085
21/02/1991,2.14423,0.884185
22/02/1991,2.211238,0.904079
25/02/1991,2.211238,0.910711
26/02/1991,2.211238,0.899658
27/02/1991,2.227989,0.930605
28/02/1991,2.211238,0.917343
01/03/1991,2.311748,0.935026
04/03/1991,2.294998,0.946078
05/03/1991,2.378757,0.985867
06/03/1991,2.412262,0.948289
07/03/1991,2.412262,0.919552
08/03/1991,2.378757,0.90629
11/03/1991,2.429729,0.877554
12/03/1991,2.344774,0.846608
13/03/1991,2.378757,0.888606
14/03/1991,2.361766,0.866502
15/03/1991,2.344774,0.854344
18/03/1991,2.361766,0.877554
19/03/1991,2.344774,0.875344
20/03/1991,2.259819,0.875344
21/03/1991,2.174862,0.837765
22/03/1991,2.089908,0.828924
25/03/1991,2.174862,0.868712
26/03/1991,2.310792,0.929499
27/03/1991,2.327782,0.95271
28/03/1991,2.361766,0.938341
